"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"29-May-2025","29-May-2025","CE","25,000.00","23.60","64.90","0.05","0.45","0.05","24,833.60","61,32,85,350","1,53,37,67,20,31,032.50","5,53,82,81,032.50","1,01,94,525","-25,78,425"
"28-May-2025","29-May-2025","CE","25,000.00","115.30","156.50","36.85","40.65","37.80","40.65","21,48,76,500","53,88,11,28,24,937.50","16,20,03,24,937.50","1,27,72,950","22,875"
"27-May-2025","29-May-2025","CE","25,000.00","202.00","288.40","106.50","126.30","124.45","126.30","19,81,99,050","49,86,91,01,87,718.75","31,93,39,37,718.75","1,27,50,075","23,47,875"
"26-May-2025","29-May-2025","CE","25,000.00","144.90","271.95","140.00","222.90","222.10","222.90","18,03,29,550","45,49,05,99,72,618.75","40,82,12,22,618.75","1,04,02,200","26,75,250"
"23-May-2025","29-May-2025","CE","25,000.00","73.85","197.70","62.20","146.05","146.55","146.05","16,65,91,425","41,89,13,49,03,607.50","24,34,92,78,607.50","77,26,950","-9,68,625"
"22-May-2025","29-May-2025","CE","25,000.00","135.20","147.65","52.00","73.85","77.60","73.85","4,22,01,300","10,58,25,55,95,266.25","3,22,30,95,266.25","86,95,575","17,44,050"
"21-May-2025","29-May-2025","CE","25,000.00","141.50","253.80","121.10","154.00","148.55","154.00","2,46,57,000","6,20,76,33,10,916.25","4,33,83,10,916.25","69,51,525","-1,55,625"
"20-May-2025","29-May-2025","CE","25,000.00","259.70","279.65","133.20","139.25","141.50","139.25","2,04,42,525","5,15,00,25,52,380.00","3,93,94,27,380.00","71,07,150","15,13,725"
"19-May-2025","29-May-2025","CE","25,000.00","330.00","330.00","240.30","249.90","242.55","249.90","1,06,44,900","2,69,15,84,22,071.25","3,03,59,22,071.25","55,93,425","3,97,725"
"16-May-2025","29-May-2025","CE","25,000.00","345.30","357.95","278.45","313.35","313.00","313.35","1,01,26,500","2,56,29,52,69,485.00","3,13,27,69,485.00","51,95,700","3,30,750"
